company,education,experience,location,position,salary
观安,本科,5-10年,上海,安全技术经理,20k-28k
观安,本科,3-5年,上海,Java,15k-25k
百得思维,本科,3-5年,上海,Python/R程序开发,7k-14k
博世猫,硕士,3-5年,上海,推荐算法,30k-60k
支付宝,本科,5-10年,上海,蚂蚁金服-国际数据平台架构师,26k-52k
百度在线,本科,1-3年,上海,AI行业应用产品经理（安防行业）,15k-30k
云知声,硕士,1年以内,上海,语音识别算法研究员（语言模型）,15k-25k
中国电信IT研发中心,本科,3-5年,上海,资深数据挖掘工程师,20k-30k
UCloud,本科,不限,上海,高性能分布式存储研发,20k-40k
百灵鸟,本科,1-3年,上海,算法工程师,25k-45k
百灵鸟,本科,1-3年,上海,算法工程师,25k-45k
百灵鸟,本科,1-3年,上海,算法工程师,25k-45k
融拓科技,硕士,3-5年,上海,数据算法经理,20k-35k
博世猫,本科,3-5年,上海,数据挖掘专家,30k-60k
腾讯,硕士,3-5年,上海,内容平台自然语言处理,40k-50k
高德地图,本科,3-5年,北京,Android,20k-35k
优信集团,本科,1-3年,北京,数据分析师,10k-12k
腾讯,硕士,1-3年,北京,微信推荐机器学习算法工程师,18k-36k
百度在线,本科,5-10年,北京,Java工程师,15k-30k
KuickDeal,本科,5-10年,北京,高级Java开发工程师,16k-24k
医渡云,硕士,不限,北京,数据挖掘实习生,4k-5k
百度,本科,不限,北京,高级算法工程师,20k-40k
蚂蚁金服,本科,3-5年,北京,高级算法工程师/专家 上海、杭州、北京,15k-30k
赋华同创,本科,3-5年,北京,人脸识别\\目标识别算法工程师,25k-50k
汉云信通技术,本科,3-5年,北京,自然语言处理,17k-25k
搜狗,硕士,3-5年,北京,购物搜索-搜索排序研究员-北京-04013,25k-50k
软通动力,大专,1-3年,北京,高级java开发工程师,13k-16k
知乎,本科,应届生,北京,算法实习生,5k-6k
中科院自动化所,硕士,不限,北京,数据解析与深度学习工程师-海外专场,8k-10k
hydsoft,本科,1-3年,北京,AI项目前端开发工程师,10k-18k
万物超体,硕士,应届生,北京,人工智能实习生,3k-4k
赋华同创,本科,3-5年,北京,语音识别算法工程师,20k-40k
车晓科技,本科,3-5年,北京,数据建模算法工程师,13k-23k
万物超体,硕士,应届生,北京,Python 数据工程师 实习,3k-4k
DataVisor,硕士,3-5年,北京,数据模型工程师,23k-45k
精准沟通传媒,本科,1-3年,北京,大数据开发,8k-16k
北京国翼天德,本科,3-5年,北京,图像算法工程师,20k-40k
芒果电单车,硕士,1-3年,北京,图像算法工程师,15k-25k
VIPKID,本科,不限,北京,机器学习工程师,20k-40k
北京联达动力股份公司,本科,3-5年,北京,深度学习～医疗图像筛查ai应用研发工程师,20k-40k
玖富,本科,3-5年,北京,机器学习算法工程师,25k-45k
小红书,本科,3-5年,北京,高级算法工程师,30k-50k
慧博融信,本科,3-5年,北京,AI前端开发工程师,12k-20k
芯智引擎,本科,不限,北京,nlp实习生,15k-30k
滴滴出行,本科,3-5年,北京,数据运营分析专家,20k-40k
金数信息科技,本科,3-5年,北京,推荐算法工程师（北京）,20k-40k
Boss直聘,硕士,1-3年,北京,数据挖掘,16k-25k
百度,本科,不限,北京,高级策略工程师,90k-140k
赋华同创,本科,3-5年,北京,网络及服务器运维工程师,13k-26k
京东集团,本科,3-5年,北京,数据挖掘,25k-50k
中国软件,本科,3-5年,北京,python大数据平台/机器学习算法系统架构师,20k-30k
中网数据,本科,3-5年,北京,数据分析师,20k-40k
京东集团,本科,1-3年,北京,高级开发工程师/架构师,20k-40k
阅文集团,本科,3-5年,北京,算法/业务研发工程师,25k-50k
同程艺龙,硕士,应届生,北京,算法工程师,10k-20k
去哪儿,本科,3-5年,北京,运维开发工程师,15k-30k
通派,本科,5-10年,北京,数据总监,50k-100k
信达天下,本科,不限,北京,Hadoop工程师,10k-15k
爱语吧,硕士,1-3年,北京,机器学习,15k-20k
感知科技,本科,3-5年,北京,数据挖掘工程师,15k-30k
滴滴出行,本科,3-5年,北京,实时计算专家,20k-40k
滴滴出行,本科,3-5年,北京,算法工程师（生态方向） (J171124015),20k-40k
东方金信,本科,3-5年,北京,博士研究员,10k-20k
艾格拉斯,本科,1-3年,北京,Java开发工程师（人工智能方向）,16k-30k
北京中科大洋,硕士,5-10年,北京,技术总监（视频云）,50k-100k
东方金信,本科,10年以上,北京,技术总监,18k-28k
牛客网,本科,不限,北京,数据挖掘工程师,18k-35k
DataVisor,硕士,3-5年,北京,数据挖掘算法工程师,28k-43k
中电健康云,本科,应届生,北京,大数据工程师（实习）,3k-4k
趣店,本科,3-5年,北京,数据挖掘工程师/架构师,30k-60k
趣店,本科,3-5年,北京,风控高级算法工程师,30k-60k
趣店,本科,3-5年,北京,高级算法策略工程师/算法策略架构师,30k-60k
武汉佰钧成,大专,3-5年,北京,算法工程师,15k-25k
今日头条,本科,不限,北京,算法实习生 - 核心广告系统,4k-8k
杉数科技,硕士,不限,北京,算法工程师（运筹优化或机器学习方向）,15k-30k
百度,本科,1年以内,北京,推荐算法工程师,15k-30k
掌阅科技,本科,1年以内,北京,Python工程师,15k-25k
微店,硕士,1-3年,北京,风控算法工程师,25k-50k
百度,本科,3-5年,北京,机器学习算法高级工程师,30k-60k
图灵机器人,硕士,1-3年,北京,自然语言处理（知识图谱）,20k-40k
北京天润融通,本科,不限,北京,Python开发工程师,15k-30k
柔持英语教育,本科,3-5年,北京,BI经理/总监,15k-25k
新浪微博,本科,3-5年,北京,大数据开发工程师,20k-40k
柔持英语教育,本科,3-5年,北京,数据分析师,15k-25k
潭州教育,本科,1-3年,北京,大数据开发讲师,18k-36k
潭州教育,本科,3-5年,北京,Hadoop讲师,18k-36k
潭州教育,本科,1-3年,北京,大数据讲师,18k-36k
滴滴出行,本科,3-5年,北京,实时计算专家,26k-50k
小觅智能,不限,1-3年,北京,FPGA图像算法,18k-36k
微芒教育科技,本科,5-10年,北京,服务器高级工程师,20k-40k
百度,本科,3-5年,北京,机器学习/自然语言处理/策略算法工程师,15k-30k
深度交叉,本科,不限,北京,前端工程师,20k-40k
京东金融,硕士,3-5年,北京,算法工程师（图计算）,30k-60k
中云网安,本科,3-5年,北京,数据分析师,20k-25k
铂金数据,本科,3-5年,北京,产品经理（风控大数据）,12k-24k
汽车之家,本科,3-5年,北京,知识图谱高级工程师,45k-60k
搜狐媒体,本科,5-10年,北京,大数据开发leader,35k-50k
汉宇,硕士,5-10年,北京,自然语言处理方向高管合伙人,30k-60k
汽车之家,本科,5-10年,北京,数据挖掘leader,40k-60k
汉宇,硕士,3-5年,北京,自然语言处理工程师,15k-30k
美菜网,本科,3-5年,北京,Java开发工程师（zhjc）,25k-40k
滴滴出行,不限,3-5年,北京,算法工程师,20k-38k
天泽智云科技有限公司,本科,5-10年,北京,前端研发主管,25k-35k
中遥地网,硕士,1-3年,北京,图像算法工程师,18k-25k
玖富火眼征信,本科,1-3年,北京,数据分析师,15k-30k
圣康汇金,大专,5-10年,北京,高级产品经理,20k-30k
京东集团,硕士,3-5年,北京,数据挖掘,30k-60k
墨迹天气,本科,3-5年,北京,高级算法工程师（效果）,30k-50k
京东集团,硕士,3-5年,北京,算法工程师,35k-70k
泓钧科技,本科,1-3年,北京,数据挖掘工程师,20k-30k
Keep,本科,3-5年,北京,算法工程师,20k-40k
中金,本科,5-10年,北京,大数据研发总监,40k-50k
阿里巴巴集团,硕士,3-5年,北京,算法专家,25k-50k
凯叔讲故事,本科,5-10年,北京,大数据技术经理,40k-60k
华赛在线,硕士,不限,北京,人工智能AI,15k-25k
慧博云通,本科,不限,北京,python,8k-14k
京东世纪贸易有限公司,硕士,1-3年,北京,高级/资深C++系统研发工程师,25k-50k
京东世纪贸易有限公司,硕士,1-3年,北京,自然语言处理算法工程师,25k-50k
京东集团,本科,1-3年,北京,数据治理算法工程师,24k-48k
泰迪北京分公司,本科,应届生,北京,数据分析师,5k-10k
泰迪北京分公司,本科,应届生,北京,数据挖掘,5k-10k
圣盈信,硕士,1-3年,北京,图片识别（机器学习）,20k-30k
达闼科技,硕士,不限,北京,深度学习图形图像算法工程师,17k-34k
蒙特卡洛,硕士,3-5年,北京,人工智能算法研究员,50k-70k
京东集团,本科,3-5年,北京,java开发工程师,15k-30k
京东集团,本科,3-5年,北京,高级软件工程师,20k-30k
GeneDock,硕士,1-3年,北京,精准医学机器学习工程师,15k-22k
百度,本科,不限,北京,车载图像交互产品 嵌入式 OpenGL 研发,30k-31k
原点生活,本科,5-10年,北京,Golang,19k-38k
百度,本科,不限,北京,车载视觉研发工程师（基础图像技术）,20k-21k
垂衣,本科,3-5年,北京,算法负责人,30k-60k
爱其科技,硕士,1-3年,北京,图像算法工程师,10k-20k
苏宁IT,本科,5-10年,北京,财务产品总监,30k-60k
猎户星空,硕士,1-3年,北京,自然语言处理,20k-40k
苏宁IT,本科,不限,北京,财务产品经理,15k-30k
京东集团,本科,不限,北京,京东广告数据部2018年实习生招聘,4k-5k
比特智盈,本科,1-3年,北京,大数据开发工程师,10k-20k
十一贝科技,本科,3-5年,北京,高级算法工程师,30k-50k
世纪天橙科技,硕士,5-10年,北京,算法工程师,50k-70k
udesk,本科,3-5年,北京,Javascript高级前端工程师/技术经理,20k-35k
udesk,本科,5-10年,北京,Ruby on Rails资深工程师/技术经理,18k-36k
udesk,本科,5-10年,北京,IM系统(XMPP)开发工程师/Erlang工程师,20k-40k
udesk,硕士,5-10年,北京,机器学习,30k-60k
udesk,本科,10年以上,北京,架构师,30k-50k
udesk,本科,5-10年,北京,C++,18k-28k
udesk,硕士,5-10年,北京,自然语言处理,30k-60k
udesk,本科,5-10年,北京,高级Java工程师,15k-25k
udesk,本科,5-10年,北京,Java技术经理,25k-35k
udesk,本科,1-3年,北京,C++工程师,10k-20k
udesk,本科,3-5年,北京,语音识别,30k-60k
udesk,本科,5-10年,北京,测试经理,15k-28k
udesk,本科,3-5年,北京,测试工程师,8k-12k
udesk,本科,3-5年,北京,自动化测试,12k-16k
菜鸟网络,硕士,3-5年,北京,算法研究员,20k-40k
数盟网络,本科,3-5年,北京,Java 工程师,16k-32k
数盟网络,本科,3-5年,北京,高级Java工程师,20k-40k
鑫车投资,本科,3-5年,北京,深度学习工程师(J12957),15k-30k
鑫车投资,不限,不限,北京,NLP算法工程师(J12575),18k-36k
数盟网络,本科,5-10年,北京,资深Java工程师,18k-30k
数盟网络,本科,3-5年,北京,DSP平台Java工程师,18k-30k
链家网,硕士,3-5年,北京,数据挖掘,25k-50k
快手,本科,3-5年,北京,AI平台架构研发工程师,20k-40k
百度,本科,不限,北京,Rank排序算法工程师,20k-40k
优信集团,本科,5-10年,北京,高级搜索开发工程师,20k-40k
玖富,本科,5-10年,北京,资深大数据开发（偏实时）,25k-40k
首佑,本科,不限,北京,大数据架构师,17k-34k
途家网,硕士,3-5年,北京,数据算法工程师,20k-40k
知乎,本科,不限,北京,资深算法工程师（AI）,25k-40k
知乎,本科,不限,北京,资深算法工程师 （推荐）,25k-40k
美闻智能,本科,3-5年,北京,运维工程师1,12k-15k
美闻智能,本科,3-5年,北京,运维工程师,12k-15k
百度,本科,3-5年,北京,凤巢搜索广告测试开发工程师,15k-16k
桃树科技,硕士,3-5年,北京,数据科学家（北京）,30k-50k
瓜子二手车直卖网,本科,1-3年,北京,算法工程师/专家,20k-40k
滴滴出行,不限,3-5年,北京,高级／资深算法工程师,20k-40k
猪八戒网,本科,3-5年,北京,大数据挖掘工程师,10k-20k
华捷艾米,硕士,不限,北京,图像算法工程师,20k-35k
桃树科技,本科,5-10年,北京,数据科学家,35k-50k
CSDN,硕士,3-5年,北京,机器学习讲师,30k-60k
蛋壳公寓,博士,5-10年,北京,数据挖掘,25k-45k
更美app,本科,3-5年,北京,策略研发工程师,30k-50k
滴滴出行,本科,3-5年,北京,资深算法工程师,20k-40k
蚂蚁金服,本科,不限,北京,蚂蚁金服-高级算法工程师/专家-北京,25k-45k
滴滴出行,本科,3-5年,北京,实时计算专家(大数据架构),30k-50k
senscape,本科,3-5年,北京,嵌入式驱动工程师,15k-25k
北京柯莱特,大专,3-5年,北京,Java,10k-14k
创新工场,硕士,1-3年,北京,推荐算法工程师,25k-50k
Boss直聘,硕士,3-5年,北京,算法工程师,30k-50k
senscape,硕士,3-5年,北京,深度学习算法工程师,15k-30k
闪银奇异,硕士,1-3年,北京,机器学习工程师,20k-40k
楚楚街,本科,1-3年,北京,大数据研发工程师,15k-20k
美团酒店事业,硕士,1-3年,北京,数据挖掘分析师,12k-20k
高德地图,本科,3-5年,北京,资深测试开发工程师,18k-34k
凡普金科,本科,3-5年,北京,算法工程师,20k-40k
蓝智,大专,3-5年,北京,web前端,7k-14k
小米,本科,5-10年,北京,相机算法研发工程师,20k-40k
桔子分期,本科,1-3年,北京,算法工程师,20k-35k
腾信软创,大专,3-5年,北京,数据挖掘工程师,15k-22k
腾信软创,大专,3-5年,北京,数据挖掘,15k-22k
新浪微博,本科,1-3年,北京,PHP应用研发中高级工程师,20k-35k
极睿科技,本科,3-5年,北京,高级商务经理,15k-25k
凤凰金融,本科,3-5年,北京,保险产品经理（后台）,25k-35k
神州锐达,本科,1-3年,北京,大数据开发工程师,10k-20k
滴滴出行,本科,5-10年,北京,运营策略算法专家,30k-60k
滴滴出行,本科,5-10年,北京,算法专家,30k-60k
普强信息,硕士,应届生,北京,语音识别工程师-声学模型,10k-20k
脉讯在线,本科,1-3年,北京,数据挖掘工程师,15k-25k
脉讯在线,本科,1-3年,北京,大数据算法工程师,15k-25k
新浪微博,本科,3-5年,北京,高级产品经理-微博feed流（信息流）,15k-30k
第四范式,本科,3-5年,北京,前端开发,20k-40k
普强信息,本科,不限,北京,NLP,10k-15k
竞技世界,硕士,3-5年,北京,高级数据分析/挖掘工程师,15k-30k
竞技世界,本科,3-5年,北京,数据工程师,25k-35k
普强信息,本科,不限,北京,大数据分析师,10k-15k
百度,本科,1-3年,北京,策略算法研发工程师,20k-40k
CSDN,本科,1-3年,北京,机器学习教研员,15k-30k
华开领航,本科,不限,北京,图像算法工程师,25k-40k
汇桔网,本科,1-3年,北京,算法工程师,18k-36k
北京天润融通,本科,5-10年,北京,Python后端架构师[中关村],26k-40k
今日头条,本科,不限,北京,数据挖掘工程师 - 用户产品方向,20k-40k
今日头条,本科,3-5年,北京,高级/资深数据挖掘工程师 - 用户产品方向,30k-50k
ASDC,本科,3-5年,北京,Java开发-（初中高级）,15k-30k
名策数据,本科,不限,北京,人工智能算法工程师,30k-50k
阿里巴巴-UC,本科,3-5年,北京,C++开发工程师,15k-30k
在行,硕士,应届生,北京,算法工程师,10k-20k
荣大科技,硕士,1-3年,北京,自然语言处理（NLP）工程师,25k-50k
Hanalytics,本科,3-5年,北京,数据科学家/工程师,25k-26k
睿知博祥,本科,3-5年,北京,推荐算法,25k-50k
作业帮,本科,1-3年,北京,数据挖掘,15k-30k
有利网,本科,1-3年,北京,风控策略,15k-30k
千千悦科技,本科,1年以内,北京,算法研究员,30k-50k
北京深度视觉,本科,5-10年,北京,图像算法师,15k-30k
51Talk,硕士,3-5年,北京,图像文字算法,30k-45k
上海微创软件,本科,不限,北京,C#/.NET开发工程师,8k-13k
国美金融,本科,3-5年,北京,风控,20k-35k
一米蓝,本科,3-5年,北京,图像文字算法工程师,35k-40k
腾讯,硕士,3-5年,北京,自动驾驶计算机视觉算法工程师（北京),50k-100k
未来安全,本科,1-3年,北京,全栈工程师,15k-30k
上海星红桉,大专,3-5年,北京,算法工程师,9k-18k
成为智能,本科,3-5年,北京,数据建模分析师 ——北京,8k-13k
北京新氧科技,本科,5-10年,北京,推荐系统工程师,25k-50k
芸品绿,硕士,1-3年,北京,数据挖掘工程师,25k-50k
灵硅科技,大专,3-5年,北京,渠道经理,10k-20k
网易乐得,博士,不限,北京,机器学习,20k-35k
大圣互动,本科,1-3年,北京,大数据开发,15k-30k
人人有信,本科,3-5年,北京,算法数据挖掘机器学习深度学习,20k-40k
科莱普云,硕士,1-3年,北京,图像算法研发工程师,15k-30k
北京中科睿芯科技...,硕士,不限,北京,人工智能方向高级研究人员,9k-10k
到家美食会,本科,5-10年,北京,大数据开发工程师,25k-40k
到家美食会,硕士,5-10年,北京,数据挖掘算法工程师,30k-50k
正和思齐,不限,不限,北京,研发实习（机器学习方向）,3k-6k
一号车网,本科,3-5年,北京,大数据开发工程师,20k-35k
茄子快传,本科,3-5年,北京,推荐系统后台研发工程师,30k-50k
华为,本科,3-5年,北京,安全产品开发,15k-30k
去哪儿,本科,3-5年,北京,数据挖掘,20k-40k
今日头条,本科,1-3年,北京,图像识别研发工程师,25k-50k
堆氧,本科,5-10年,北京,财务邮件系统信息技术部/技术总监,70k-100k
视感科技,硕士,3-5年,北京,音频算法工程师（音乐方向）,20k-35k
水滴成海,本科,不限,北京,算法推荐工程师,20k-35k
知乎,本科,5-10年,北京,资深数据仓库开发,38k-48k
今日头条,本科,不限,北京,推荐算法实习生,8k-10k
滴滴出行,硕士,5-10年,北京,视频识别算法专家,40k-41k
滴滴出行,硕士,5-10年,北京,安全算法专家,40k-41k
滴滴出行,硕士,5-10年,北京,资深算法专家,40k-41k
汉能控股集团,硕士,1-3年,北京,算法工程师,20k-40k
京东集团,本科,5-10年,北京,Java,20k-40k
滴滴出行,硕士,10年以上,北京,首席算法工程师,60k-70k
汉能控股集团,博士,5-10年,北京,数据科学家,30k-60k
汉能控股集团,本科,5-10年,北京,人工智能专家,25k-50k
百度,本科,1年以内,北京,自然语言处理/机器学习算法工程师,15k-30k
思源互联科技,本科,3-5年,北京,大数据开发工程师,20k-40k
阿里巴巴集团,硕士,1-3年,北京,安全部-高级策略/模型专家,20k-40k
北京京东科技,本科,不限,北京,算法工程师,20k-40k
金睛云华,本科,3-5年,北京,高级Java工程师(安全方向),15k-30k
悉见,硕士,3-5年,北京,资深算法工程师（机器学习）,30k-50k
品友互动,本科,1-3年,北京,机器学习,10k-20k
创新工场,硕士,1-3年,北京,售前顾问/经理/总监,20k-40k
爱奇艺,本科,1-3年,北京,高级工程师,20k-35k
天机数据,硕士,不限,北京,算法工程师,15k-30k
北京冠鼎科技有限公司,本科,5-10年,北京,技术总监,25k-50k
小米,本科,1-3年,北京,大数据研发工程师,10k-20k
文思海辉集团,本科,3-5年,北京,中级Java开发工程师,10k-12k
一亩田,本科,不限,北京,Python实习生,3k-6k
一亩田,本科,不限,北京,python开发工程师,18k-25k
麦达数字(北京),本科,3-5年,北京,大数据机器学习工程师,20k-40k
健康界,本科,3-5年,北京,推荐算法工程师,20k-30k
京东集团,本科,3-5年,北京,数据产品经理 - 仓配算法应用,20k-35k
Yi+,本科,5-10年,北京,深度学习专家,40k-80k
凡普金科,本科,5-10年,北京,模型分析师,30k-60k
荣之联科技,本科,5-10年,北京,资深NLP算法工程师,30k-45k
新浪微博,硕士,1-3年,北京,推荐算法工程师,30k-45k
赞同科技,本科,1-3年,北京,机器学习 ai,15k-30k
京东金融,本科,3-5年,北京,高级java开发工程师/架构师,20k-40k
今日头条,本科,3-5年,北京,数据挖掘算法工程师 - 反作弊方向,25k-50k
Geek+,本科,应届生,北京,系统研发部-数据算法实习生,5k-7k
阿里云,本科,5-10年,北京,SA解决方案架构师,25k-35k
360金融,本科,3-5年,北京,算法工程师-NPL,30k-50k
浩然五洲软件,本科,1-3年,北京,数据分析,9k-15k
京东集团,博士,5-10年,北京,预测算法科学家,60k-120k
小狗机器人,本科,5-10年,北京,测试总监,30k-55k
